"itemA","itemB","categoryA","categoryB","item_pairs","type"
"feel tired","remember something","bio","cog","feel tired-remember something","across domain"
"feel pain","jump up and down","bio","act","feel pain-jump up and down","across domain"
"think about something","feel sick","cog","bio","think about something-feel sick","across domain"
"take a walk","hear something","act","cog","take a walk-hear something","across domain"
"feel tired","feel scared","bio","bio","feel tired-feel scared","within domain"
"take a walk","choose what to do","act","cog","take a walk-choose what to do","across domain"
"hear something","sit down","cog","act","hear something-sit down","across domain"
"sit down","remember something","act","cog","sit down-remember something","across domain"
"think about something","kick something","cog","act","think about something-kick something","across domain"
"feel hungry","hear something","bio","cog","feel hungry-hear something","across domain"
"see something","feel pain","cog","bio","see something-feel pain","across domain"
"feel scared","feel hungry","bio","bio","feel scared-feel hungry","within domain"
"think about something","take a walk","cog","act","think about something-take a walk","across domain"
"feel tired","feel pain","bio","bio","feel tired-feel pain","within domain"
"choose what to do","take a walk","cog","act","choose what to do-take a walk","across domain"
"take a walk","jump up and down","act","act","take a walk-jump up and down","within domain"
"feel scared","choose what to do","bio","cog","feel scared-choose what to do","across domain"
"remember something","hear something","cog","cog","remember something-hear something","within domain"
"reach for something","think about something","act","cog","reach for something-think about something","across domain"
"remember something","feel hungry","cog","bio","remember something-feel hungry","across domain"
"kick something","feel hungry","act","bio","kick something-feel hungry","across domain"
"feel scared","feel sick","bio","bio","feel scared-feel sick","within domain"
"feel sick","feel scared","bio","bio","feel sick-feel scared","within domain"
"feel tired","choose what to do","bio","cog","feel tired-choose what to do","across domain"
"jump up and down","kick something","act","act","jump up and down-kick something","within domain"
"kick something","choose what to do","act","cog","kick something-choose what to do","across domain"
"take a walk","feel tired","act","bio","take a walk-feel tired","across domain"
"choose what to do","kick something","cog","act","choose what to do-kick something","across domain"
"think about something","feel pain","cog","bio","think about something-feel pain","across domain"
"remember something","feel tired","cog","bio","remember something-feel tired","across domain"
"sit down","hear something","act","cog","sit down-hear something","across domain"
"jump up and down","remember something","act","cog","jump up and down-remember something","across domain"
"sit down","take a walk","act","act","sit down-take a walk","within domain"
"feel tired","feel sick","bio","bio","feel tired-feel sick","within domain"
"hear something","take a walk","cog","act","hear something-take a walk","across domain"
"think about something","remember something","cog","cog","think about something-remember something","within domain"
"jump up and down","feel tired","act","bio","jump up and down-feel tired","across domain"
"reach for something","sit down","act","act","reach for something-sit down","within domain"
"hear something","choose what to do","cog","cog","hear something-choose what to do","within domain"
"remember something","think about something","cog","cog","remember something-think about something","within domain"
"take a walk","see something","act","cog","take a walk-see something","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"hear something","kick something","cog","act","hear something-kick something","across domain"
"hear something","choose what to do","cog","cog","hear something-choose what to do","within domain"
"choose what to do","sit down","cog","act","choose what to do-sit down","across domain"
"see something","feel hungry","cog","bio","see something-feel hungry","across domain"
"feel hungry","feel scared","bio","bio","feel hungry-feel scared","within domain"
"think about something","choose what to do","cog","cog","think about something-choose what to do","within domain"
"choose what to do","feel sick","cog","bio","choose what to do-feel sick","across domain"
"jump up and down","feel tired","act","bio","jump up and down-feel tired","across domain"
"reach for something","feel hungry","act","bio","reach for something-feel hungry","across domain"
"reach for something","feel pain","act","bio","reach for something-feel pain","across domain"
"jump up and down","sit down","act","act","jump up and down-sit down","within domain"
"sit down","jump up and down","act","act","sit down-jump up and down","within domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"feel pain","feel scared","bio","bio","feel pain-feel scared","within domain"
"feel pain","feel tired","bio","bio","feel pain-feel tired","within domain"
"feel sick","remember something","bio","cog","feel sick-remember something","across domain"
"take a walk","choose what to do","act","cog","take a walk-choose what to do","across domain"
"take a walk","reach for something","act","act","take a walk-reach for something","within domain"
"think about something","feel tired","cog","bio","think about something-feel tired","across domain"
"feel hungry","reach for something","bio","act","feel hungry-reach for something","across domain"
"feel tired","feel scared","bio","bio","feel tired-feel scared","within domain"
"choose what to do","feel pain","cog","bio","choose what to do-feel pain","across domain"
"feel tired","kick something","bio","act","feel tired-kick something","across domain"
"feel pain","kick something","bio","act","feel pain-kick something","across domain"
"feel tired","hear something","bio","cog","feel tired-hear something","across domain"
"see something","feel pain","cog","bio","see something-feel pain","across domain"
"jump up and down","feel hungry","act","bio","jump up and down-feel hungry","across domain"
"feel tired","take a walk","bio","act","feel tired-take a walk","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"think about something","take a walk","cog","act","think about something-take a walk","across domain"
"see something","feel scared","cog","bio","see something-feel scared","across domain"
"feel pain","hear something","bio","cog","feel pain-hear something","across domain"
"remember something","feel pain","cog","bio","remember something-feel pain","across domain"
"think about something","reach for something","cog","act","think about something-reach for something","across domain"
"jump up and down","feel pain","act","bio","jump up and down-feel pain","across domain"
"feel pain","feel hungry","bio","bio","feel pain-feel hungry","within domain"
"hear something","remember something","cog","cog","hear something-remember something","within domain"
"kick something","feel scared","act","bio","kick something-feel scared","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"think about something","feel scared","cog","bio","think about something-feel scared","across domain"
"feel tired","choose what to do","bio","cog","feel tired-choose what to do","across domain"
"see something","feel scared","cog","bio","see something-feel scared","across domain"
"think about something","feel scared","cog","bio","think about something-feel scared","across domain"
"take a walk","feel tired","act","bio","take a walk-feel tired","across domain"
"feel scared","remember something","bio","cog","feel scared-remember something","across domain"
"sit down","hear something","act","cog","sit down-hear something","across domain"
"take a walk","choose what to do","act","cog","take a walk-choose what to do","across domain"
"feel pain","feel tired","bio","bio","feel pain-feel tired","within domain"
"take a walk","see something","act","cog","take a walk-see something","across domain"
"see something","feel tired","cog","bio","see something-feel tired","across domain"
"reach for something","feel hungry","act","bio","reach for something-feel hungry","across domain"
"feel pain","sit down","bio","act","feel pain-sit down","across domain"
"remember something","take a walk","cog","act","remember something-take a walk","across domain"
"think about something","jump up and down","cog","act","think about something-jump up and down","across domain"
"hear something","jump up and down","cog","act","hear something-jump up and down","across domain"
"feel hungry","feel pain","bio","bio","feel hungry-feel pain","within domain"
"kick something","reach for something","act","act","kick something-reach for something","within domain"
"feel scared","see something","bio","cog","feel scared-see something","across domain"
"feel pain","take a walk","bio","act","feel pain-take a walk","across domain"
"see something","hear something","cog","cog","see something-hear something","within domain"
"sit down","take a walk","act","act","sit down-take a walk","within domain"
"see something","feel pain","cog","bio","see something-feel pain","across domain"
"feel tired","think about something","bio","cog","feel tired-think about something","across domain"
"jump up and down","sit down","act","act","jump up and down-sit down","within domain"
"see something","feel hungry","cog","bio","see something-feel hungry","across domain"
"feel pain","kick something","bio","act","feel pain-kick something","across domain"
"feel scared","feel pain","bio","bio","feel scared-feel pain","within domain"
"feel sick","reach for something","bio","act","feel sick-reach for something","across domain"
"see something","sit down","cog","act","see something-sit down","across domain"
"kick something","sit down","act","act","kick something-sit down","within domain"
"reach for something","think about something","act","cog","reach for something-think about something","across domain"
"sit down","feel tired","act","bio","sit down-feel tired","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"feel scared","think about something","bio","cog","feel scared-think about something","across domain"
"feel tired","reach for something","bio","act","feel tired-reach for something","across domain"
"hear something","feel hungry","cog","bio","hear something-feel hungry","across domain"
"take a walk","feel pain","act","bio","take a walk-feel pain","across domain"
"remember something","kick something","cog","act","remember something-kick something","across domain"
"think about something","choose what to do","cog","cog","think about something-choose what to do","within domain"
"take a walk","think about something","act","cog","take a walk-think about something","across domain"
"jump up and down","feel sick","act","bio","jump up and down-feel sick","across domain"
"kick something","take a walk","act","act","kick something-take a walk","within domain"
"feel tired","kick something","bio","act","feel tired-kick something","across domain"
"hear something","feel hungry","cog","bio","hear something-feel hungry","across domain"
"feel pain","reach for something","bio","act","feel pain-reach for something","across domain"
"reach for something","feel sick","act","bio","reach for something-feel sick","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"jump up and down","think about something","act","cog","jump up and down-think about something","across domain"
"remember something","feel scared","cog","bio","remember something-feel scared","across domain"
"feel pain","feel scared","bio","bio","feel pain-feel scared","within domain"
"reach for something","kick something","act","act","reach for something-kick something","within domain"
"remember something","think about something","cog","cog","remember something-think about something","within domain"
"feel scared","choose what to do","bio","cog","feel scared-choose what to do","across domain"
"feel sick","take a walk","bio","act","feel sick-take a walk","across domain"
"take a walk","feel sick","act","bio","take a walk-feel sick","across domain"
"take a walk","choose what to do","act","cog","take a walk-choose what to do","across domain"
"see something","jump up and down","cog","act","see something-jump up and down","across domain"
"think about something","feel sick","cog","bio","think about something-feel sick","across domain"
"feel sick","see something","bio","cog","feel sick-see something","across domain"
"take a walk","hear something","act","cog","take a walk-hear something","across domain"
"hear something","see something","cog","cog","hear something-see something","within domain"
"take a walk","think about something","act","cog","take a walk-think about something","across domain"
"feel pain","choose what to do","bio","cog","feel pain-choose what to do","across domain"
"feel sick","sit down","bio","act","feel sick-sit down","across domain"
"feel sick","reach for something","bio","act","feel sick-reach for something","across domain"
"jump up and down","kick something","act","act","jump up and down-kick something","within domain"
"feel tired","see something","bio","cog","feel tired-see something","across domain"
"kick something","feel tired","act","bio","kick something-feel tired","across domain"
"feel hungry","feel tired","bio","bio","feel hungry-feel tired","within domain"
"feel pain","remember something","bio","cog","feel pain-remember something","across domain"
"kick something","remember something","act","cog","kick something-remember something","across domain"
"sit down","see something","act","cog","sit down-see something","across domain"
"think about something","jump up and down","cog","act","think about something-jump up and down","across domain"
"choose what to do","feel scared","cog","bio","choose what to do-feel scared","across domain"
"feel pain","think about something","bio","cog","feel pain-think about something","across domain"
"feel scared","hear something","bio","cog","feel scared-hear something","across domain"
"think about something","feel tired","cog","bio","think about something-feel tired","across domain"
"see something","feel hungry","cog","bio","see something-feel hungry","across domain"
"take a walk","feel scared","act","bio","take a walk-feel scared","across domain"
"feel scared","feel sick","bio","bio","feel scared-feel sick","within domain"
"feel scared","take a walk","bio","act","feel scared-take a walk","across domain"
"feel hungry","jump up and down","bio","act","feel hungry-jump up and down","across domain"
"feel hungry","feel pain","bio","bio","feel hungry-feel pain","within domain"
"remember something","hear something","cog","cog","remember something-hear something","within domain"
"kick something","see something","act","cog","kick something-see something","across domain"
"feel pain","feel sick","bio","bio","feel pain-feel sick","within domain"
"take a walk","feel sick","act","bio","take a walk-feel sick","across domain"
"choose what to do","jump up and down","cog","act","choose what to do-jump up and down","across domain"
"feel sick","feel tired","bio","bio","feel sick-feel tired","within domain"
"hear something","take a walk","cog","act","hear something-take a walk","across domain"
"hear something","remember something","cog","cog","hear something-remember something","within domain"
"feel hungry","think about something","bio","cog","feel hungry-think about something","across domain"
"kick something","feel tired","act","bio","kick something-feel tired","across domain"
"sit down","reach for something","act","act","sit down-reach for something","within domain"
"feel scared","hear something","bio","cog","feel scared-hear something","across domain"
"feel sick","take a walk","bio","act","feel sick-take a walk","across domain"
"feel tired","choose what to do","bio","cog","feel tired-choose what to do","across domain"
"think about something","choose what to do","cog","cog","think about something-choose what to do","within domain"
"think about something","feel tired","cog","bio","think about something-feel tired","across domain"
"remember something","jump up and down","cog","act","remember something-jump up and down","across domain"
"jump up and down","feel hungry","act","bio","jump up and down-feel hungry","across domain"
"feel scared","jump up and down","bio","act","feel scared-jump up and down","across domain"
"remember something","feel hungry","cog","bio","remember something-feel hungry","across domain"
"feel tired","take a walk","bio","act","feel tired-take a walk","across domain"
"sit down","hear something","act","cog","sit down-hear something","across domain"
"jump up and down","feel pain","act","bio","jump up and down-feel pain","across domain"
"think about something","feel scared","cog","bio","think about something-feel scared","across domain"
"jump up and down","kick something","act","act","jump up and down-kick something","within domain"
"remember something","feel tired","cog","bio","remember something-feel tired","across domain"
"hear something","jump up and down","cog","act","hear something-jump up and down","across domain"
"feel pain","choose what to do","bio","cog","feel pain-choose what to do","across domain"
"feel scared","think about something","bio","cog","feel scared-think about something","across domain"
"feel scared","sit down","bio","act","feel scared-sit down","across domain"
"feel sick","feel hungry","bio","bio","feel sick-feel hungry","within domain"
"feel pain","see something","bio","cog","feel pain-see something","across domain"
"feel hungry","remember something","bio","cog","feel hungry-remember something","across domain"
